product_id,seller_id,product_name,product_category,stock_quantity,price,quantity_sold,trend_score,days_in_inventory,sales_revenue,reorder_threshold,competitor_price,profit_margin,customer_purchase_frequency
P7211,S118,Tablet,Accessories,473,1405.9,105,7.42,297,147619.5,224,1667.16,167.65,2
P6102,S286,Camera,Gadgets,32,504.56,272,69.86,295,137240.32,10,498.86,165.51,20
P2913,S477,Camera,Wearable Tech,496,1473.53,223,6.4,37,328597.19,189,1564.41,483.77,8
P5679,S696,Smartphone,Wearable Tech,248,372.31,131,43.79,69,48772.61,83,360.93,69.38,2
P3730,S206,Camera,Wearable Tech,87,436.47,212,8.31,286,92531.64,22,521.69,71.93,15
P7123,S856,Camera,Accessories,470,1587.96,86,18.58,64,136564.56,178,1606.01,226.16,1
P2306,S608,Laptop,Wearable Tech,143,1309.56,76,70.66,94,99526.56,34,1392.98,424.2,7
P8154,S977,Camera,Electronics,52,749.67,119,32.52,139,89210.73,25,881.64,265.25,17
P1120,S146,Laptop,Electronics,33,1299.89,214,52.01,332,278176.46,3,1176.55,495.62,20
P2821,S375,Tablet,Accessories,265,1432.83,232,29.91,182,332416.56,62,1569.9,509.6,20
P7047,S276,Tablet,Accessories,295,1107.38,76,5.45,325,84160.88,108,1297.36,356.26,15
P1014,S966,Laptop,Gadgets,313,979.09,86,86.5,305,84201.74,73,1162.17,236.7,5
P4722,S108,Camera,Accessories,410,1084.49,177,57.65,28,191954.73,101,1227.68,291.91,5
P7513,S497,Tablet,Accessories,36,1053.46,148,29.25,65,155912.08,11,982.86,131.81,11
P1516,S706,Smartphone,Accessories,205,808.54,176,49.93,105,142303.04,96,754.07,235.28,2
P3218,S996,Smartwatch,Electronics,299,231.13,12,99.55,185,2773.56,132,242.22,57.42,12
P2329,S666,Smartphone,Electronics,431,1994.43,282,36.75,22,562429.26,188,2015.76,490.66,15
P5538,S283,Laptop,Electronics,108,977.19,0,63.12,178,0.0,14,904.36,284.78,14
P7068,S322,Laptop,Accessories,416,1336.7,198,53.48,132,264666.6,148,1402.82,507.27,8
P9909,S151,Camera,Electronics,469,584.05,81,79.54,45,47308.05,84,561.01,229.89,17
P4516,S175,Headphones,Wearable Tech,82,249.87,297,60.16,191,74211.39,12,252.15,62.07,2
P3791,S884,Camera,Wearable Tech,58,1773.44,78,28.17,355,138328.32,20,1870.76,383.25,20
P3407,S384,Smartwatch,Accessories,141,839.59,232,97.32,161,194784.88,30,800.29,103.65,10
P5878,S927,Laptop,Accessories,471,1472.53,275,71.05,348,404945.75,113,1606.36,150.89,4
P2598,S668,Smartphone,Gadgets,402,1591.74,37,98.15,250,58894.38,199,1492.0,553.91,5
P7053,S257,Camera,Accessories,169,823.02,295,38.75,363,242790.9,74,892.32,294.21,5
P7977,S319,Headphones,Gadgets,417,275.62,1,5.57,363,275.62,130,254.32,61.68,17
P5364,S338,Smartphone,Accessories,308,483.79,158,5.6,191,76438.82,94,494.65,149.94,14
P5944,S853,Tablet,Accessories,384,782.2,223,25.88,146,174430.6,92,788.0,179.07,2
P8712,S733,Laptop,Wearable Tech,132,443.84,242,81.39,8,107409.28,32,436.28,59.28,20
P7531,S633,Smartwatch,Gadgets,42,1002.43,177,7.95,65,177430.11,14,1190.64,313.72,15
P6192,S981,Laptop,Accessories,376,1900.32,71,1.06,199,134922.72,101,1922.41,586.46,17
P5072,S969,Smartwatch,Electronics,82,1319.33,47,91.75,11,62008.51,28,1515.5,166.77,13
P3691,S353,Laptop,Wearable Tech,25,1348.46,77,35.9,358,103831.42,5,1330.69,211.19,11
P5913,S549,Headphones,Accessories,380,864.64,41,8.99,116,35450.24,137,984.51,333.63,15
P8050,S525,Laptop,Wearable Tech,48,1006.4,270,63.14,186,271728.0,7,1107.68,270.37,6
P1234,S982,Smartwatch,Wearable Tech,12,1129.3,145,12.06,254,163748.5,2,1233.6,448.52,11
P4743,S137,Laptop,Wearable Tech,77,602.85,138,57.19,142,83193.3,8,545.96,96.16,13
P3623,S926,Smartphone,Gadgets,285,313.47,210,57.95,48,65828.7,127,323.64,62.96,3
P6428,S464,Smartphone,Accessories,336,348.71,160,39.12,46,55793.6,147,382.65,77.35,20
P5191,S654,Headphones,Gadgets,120,1618.12,258,5.96,158,417474.96,51,1857.67,578.06,5
P2703,S823,Smartphone,Accessories,62,907.88,39,37.87,280,35407.32,9,943.78,248.49,4
P1307,S892,Tablet,Electronics,311,324.94,167,79.52,178,54264.98,107,302.45,121.77,19
P5427,S732,Camera,Electronics,424,1105.76,44,44.36,200,48653.44,58,1209.61,414.61,18
P8669,S742,Smartwatch,Electronics,346,237.47,278,21.41,269,66016.66,159,273.07,90.5,1
P9851,S702,Camera,Electronics,172,900.98,215,83.18,126,193710.7,53,860.24,303.95,15
P3699,S475,Tablet,Electronics,58,1238.48,42,53.01,304,52016.16,9,1475.38,383.93,10
P7051,S129,Smartphone,Wearable Tech,139,1230.19,108,79.8,229,132860.52,59,1399.12,452.57,14
P5686,S743,Smartphone,Electronics,141,1804.59,101,67.64,99,182263.59,40,1861.55,427.01,19
P3218,S871,Camera,Accessories,316,875.15,79,83.14,207,69136.85,122,933.01,216.91,5
P2214,S312,Smartwatch,Electronics,436,286.97,85,19.86,259,24392.45,77,332.05,39.96,12
P4997,S856,Smartwatch,Electronics,184,734.14,211,62.68,100,154903.54,40,692.17,111.98,18
P6340,S936,Laptop,Accessories,119,98.3,136,93.17,144,13368.8,14,99.53,10.46,16
P1147,S641,Smartphone,Electronics,216,134.79,110,51.28,290,14826.9,100,160.83,34.75,20
P3561,S699,Tablet,Accessories,217,1024.98,45,92.06,179,46124.1,53,1054.66,378.43,20
P9786,S737,Laptop,Wearable Tech,392,1650.66,15,54.45,244,24759.9,68,1977.33,254.75,3
P9330,S842,Smartwatch,Wearable Tech,128,1438.29,281,45.2,304,404159.49,28,1380.68,489.91,15
P7341,S949,Headphones,Wearable Tech,34,659.32,23,30.96,17,15164.36,15,755.6,251.56,2
P5121,S772,Smartwatch,Electronics,188,502.01,248,73.85,283,124498.48,36,600.02,77.02,19
P4387,S516,Smartwatch,Electronics,346,166.56,10,43.73,6,1665.6,130,176.72,53.18,10
P8456,S257,Headphones,Gadgets,6,638.85,253,23.23,307,161629.05,2,580.2,244.0,15
P6532,S273,Tablet,Gadgets,346,984.65,173,57.59,26,170344.45,161,1061.86,380.46,8
P2843,S257,Headphones,Gadgets,252,1876.38,277,50.22,325,519757.26,99,1910.55,194.05,17
P7230,S140,Smartphone,Wearable Tech,122,1248.1,54,50.98,120,67397.4,42,1349.07,300.6,13
P2514,S442,Smartwatch,Wearable Tech,224,1956.27,197,54.85,40,385385.19,61,2067.44,475.63,12
P6839,S542,Camera,Gadgets,80,378.04,113,89.22,212,42718.52,33,443.9,41.41,3
P6049,S573,Camera,Wearable Tech,75,555.51,255,72.02,268,141655.05,20,541.08,214.96,9
P2905,S347,Camera,Wearable Tech,27,739.11,29,24.54,278,21434.19,12,699.68,75.62,16
P1541,S500,Smartphone,Electronics,463,982.99,105,60.11,90,103213.95,59,944.6,212.03,12
P7662,S572,Tablet,Accessories,403,106.79,256,83.27,277,27338.24,108,121.83,11.99,13
P1891,S599,Smartwatch,Electronics,362,1721.16,288,35.3,358,495694.08,105,1835.69,652.86,15
P8643,S215,Tablet,Electronics,413,61.53,193,79.55,179,11875.29,100,73.41,12.92,9
P5837,S882,Smartwatch,Wearable Tech,451,465.02,243,69.06,267,112999.86,140,503.57,93.09,11
P3528,S647,Headphones,Wearable Tech,70,134.77,99,76.94,187,13342.23,26,129.8,48.56,13
P1739,S569,Laptop,Gadgets,469,1549.37,216,58.02,158,334663.92,131,1511.39,314.53,4
P3417,S781,Smartphone,Gadgets,458,1401.92,228,39.87,257,319637.76,77,1385.15,174.36,12
P9563,S620,Tablet,Gadgets,214,335.09,81,70.7,189,27142.29,28,322.94,123.23,14
P7291,S753,Camera,Electronics,66,1257.0,51,50.01,97,64107.0,16,1195.09,284.29,9
P6834,S355,Headphones,Wearable Tech,314,999.02,29,52.59,161,28971.58,33,1037.91,105.42,6
P1675,S525,Laptop,Accessories,282,508.96,96,70.14,266,48860.16,131,520.39,141.53,19
P7388,S410,Smartwatch,Electronics,124,893.58,242,13.78,125,216246.36,60,854.3,283.65,2
P8948,S931,Smartwatch,Electronics,156,1541.3,177,22.0,257,272810.1,62,1754.99,172.81,19
P7044,S594,Smartphone,Gadgets,218,1290.37,149,27.61,13,192265.13,38,1424.61,448.3,19
P5567,S931,Headphones,Wearable Tech,468,1879.58,216,55.02,260,405989.28,160,1711.22,211.95,12
P2059,S393,Laptop,Gadgets,344,1242.01,146,52.67,219,181333.46,161,1415.17,426.63,13
P9753,S760,Camera,Gadgets,400,457.11,187,70.97,244,85479.57,98,418.44,108.59,17
P1884,S578,Tablet,Electronics,460,1345.51,26,37.4,127,34983.26,53,1581.78,504.33,11
P2546,S238,Laptop,Wearable Tech,264,533.3,10,54.62,201,5333.0,80,506.56,191.12,4
P4387,S761,Smartwatch,Gadgets,47,1302.01,200,19.25,229,260402.0,15,1254.23,334.58,10
P5156,S496,Smartphone,Accessories,96,1668.72,92,11.87,313,153522.24,10,1865.43,520.5,6
P6660,S971,Camera,Electronics,200,1367.74,121,39.46,244,165496.54,98,1578.31,300.65,3
P2447,S134,Laptop,Electronics,138,1810.31,192,56.52,87,347579.52,64,2003.52,319.42,11
P1869,S562,Camera,Accessories,147,797.94,29,56.86,80,23140.26,52,922.36,160.04,3
P3972,S982,Tablet,Wearable Tech,338,72.19,275,1.52,334,19852.25,141,69.95,17.0,9
P9781,S875,Headphones,Accessories,190,1846.65,198,53.34,129,365636.7,20,1809.74,241.99,15
P7019,S370,Camera,Gadgets,337,690.35,271,40.4,54,187084.85,37,685.9,194.88,8
P4231,S421,Camera,Electronics,462,775.94,276,63.68,170,214159.44,125,772.66,257.35,12
P2274,S692,Headphones,Electronics,471,927.06,258,90.47,342,239181.48,183,882.72,331.66,8
P6231,S290,Laptop,Wearable Tech,159,1322.16,137,9.1,34,181135.92,31,1208.45,514.48,19
P4449,S552,Smartphone,Electronics,17,139.97,165,45.56,312,23095.05,7,144.5,20.68,9
P6543,S206,Smartwatch,Wearable Tech,434,1659.04,182,26.02,101,301945.28,61,1814.41,661.72,11
P4716,S151,Laptop,Wearable Tech,409,819.33,42,29.6,48,34411.86,145,974.42,271.94,6
P8866,S642,Headphones,Wearable Tech,176,1861.02,162,36.27,247,301485.24,71,2031.11,712.95,8
P2037,S818,Tablet,Electronics,110,355.36,171,30.82,341,60766.56,18,388.87,58.21,9
P4182,S311,Smartwatch,Electronics,467,1407.36,158,22.03,38,222362.88,205,1625.07,420.71,11
P2256,S740,Camera,Accessories,248,1127.28,205,17.43,133,231092.4,54,1069.69,335.3,19
P7240,S194,Headphones,Accessories,292,1870.54,124,85.39,129,231946.96,68,2148.97,528.2,15
P6725,S645,Camera,Gadgets,310,894.59,236,65.39,73,211123.24,118,843.04,204.56,7
P2003,S852,Camera,Electronics,425,941.04,153,97.0,205,143979.12,157,1064.91,158.27,13
P5522,S267,Smartwatch,Accessories,353,1716.37,129,99.08,64,221411.73,89,1951.12,383.47,18
P1803,S116,Camera,Gadgets,258,264.33,270,32.01,303,71369.1,97,249.41,32.48,12
P8397,S735,Smartwatch,Accessories,344,1612.04,64,89.67,359,103170.56,38,1555.6,300.41,20
P7897,S395,Smartwatch,Wearable Tech,352,1423.04,268,75.83,157,381374.72,141,1610.52,240.57,15
P6860,S253,Smartwatch,Accessories,221,1133.55,49,5.07,86,55543.95,43,1041.9,250.09,14
P9587,S734,Camera,Electronics,342,822.71,15,13.57,187,12340.65,63,830.84,194.69,2
P3328,S142,Smartwatch,Gadgets,204,746.87,140,51.57,240,104561.8,88,819.71,118.21,7
P8897,S638,Tablet,Accessories,453,117.28,145,21.79,265,17005.6,217,132.17,20.79,2
P9740,S380,Smartphone,Gadgets,288,163.63,297,8.7,288,48598.11,57,152.77,55.26,1
P7312,S547,Tablet,Electronics,441,564.44,198,46.57,69,111759.12,181,547.75,211.1,13
P4915,S248,Smartphone,Accessories,393,1760.61,258,35.29,208,454237.38,152,2072.13,653.69,5
P7466,S369,Smartphone,Accessories,498,331.66,268,35.79,40,88884.88,64,323.66,74.14,17
P8452,S330,Laptop,Electronics,340,468.71,211,54.14,165,98897.81,120,519.92,68.81,8
P1110,S850,Smartphone,Gadgets,71,1426.56,203,61.46,243,289591.68,26,1501.69,211.22,15
P5324,S511,Smartphone,Wearable Tech,272,574.36,238,62.97,183,136697.68,65,523.05,78.42,8
P7931,S484,Laptop,Accessories,355,1651.37,173,19.57,95,285687.01,87,1828.61,528.39,6
P8781,S359,Smartwatch,Wearable Tech,372,183.51,226,62.33,59,41473.26,135,176.29,60.14,15
P1341,S898,Headphones,Gadgets,444,1788.35,269,23.25,28,481066.15,148,1932.01,255.92,15
P9053,S283,Smartwatch,Electronics,342,343.76,163,67.27,136,56032.88,163,368.91,67.73,10
P9618,S602,Camera,Electronics,313,436.57,19,54.51,45,8294.83,66,511.19,157.03,9
P4065,S227,Laptop,Gadgets,494,1685.17,136,87.7,277,229183.12,167,1952.96,370.59,18
P6218,S487,Smartphone,Gadgets,76,345.12,142,62.39,161,49007.04,11,333.72,35.44,10
P9610,S611,Smartwatch,Accessories,22,740.27,258,78.38,74,190989.66,5,758.91,227.94,5
P7116,S114,Laptop,Electronics,429,793.5,32,92.16,75,25392.0,59,940.66,121.04,16
P2768,S345,Laptop,Gadgets,9,1935.93,248,13.26,277,480110.64,2,2263.73,752.06,19
P3380,S207,Smartwatch,Accessories,263,1371.83,104,81.55,252,142670.32,113,1398.21,419.96,5
P9141,S324,Headphones,Gadgets,17,997.03,4,53.21,76,3988.12,2,901.51,363.47,7
P8337,S900,Headphones,Gadgets,63,1205.76,19,64.7,14,22909.44,27,1289.36,287.73,3
P9202,S511,Laptop,Accessories,463,548.33,128,38.5,151,70186.24,72,581.86,60.19,10
P4965,S976,Laptop,Electronics,151,467.17,9,74.63,95,4204.53,43,427.06,68.71,5
P6922,S935,Smartphone,Wearable Tech,200,1653.81,198,55.17,276,327454.38,51,1717.1,553.57,11
P2073,S735,Laptop,Accessories,485,392.25,53,84.51,155,20789.25,60,454.04,131.34,6
P7383,S538,Camera,Electronics,333,1613.96,247,43.48,292,398648.12,88,1573.73,312.49,2
P4563,S330,Camera,Wearable Tech,340,1009.07,238,92.01,154,240158.66,160,912.84,123.68,20
P5126,S639,Laptop,Electronics,335,423.9,245,89.64,337,103855.5,44,440.04,97.16,14
P3178,S128,Smartphone,Electronics,454,358.21,5,98.36,224,1791.05,102,345.49,142.96,9
P8508,S868,Headphones,Gadgets,469,1970.27,227,91.64,44,447251.29,205,2193.61,638.86,18
P9883,S325,Headphones,Accessories,114,883.58,206,43.73,215,182017.48,55,1025.16,258.05,5
P5758,S978,Tablet,Electronics,361,749.19,139,61.87,140,104137.41,143,863.86,200.3,17
P7813,S153,Camera,Gadgets,238,134.28,283,21.78,146,38001.24,35,154.41,17.61,8
P2642,S540,Headphones,Gadgets,295,1683.12,299,31.88,269,503252.88,115,1806.89,394.96,15
P5150,S410,Smartwatch,Electronics,169,1539.94,30,96.13,26,46198.2,60,1511.17,243.36,18
P4452,S969,Smartwatch,Accessories,22,552.4,142,82.99,196,78440.8,2,593.77,163.17,4
P7128,S868,Smartphone,Accessories,62,464.65,74,47.18,221,34384.1,13,459.85,152.04,14
P9584,S474,Camera,Gadgets,377,244.2,242,91.84,197,59096.4,164,267.87,82.52,10
P1852,S968,Smartwatch,Accessories,92,496.62,134,17.3,47,66547.08,28,534.45,181.4,2
P2785,S833,Smartphone,Accessories,28,1469.68,152,23.66,274,223391.36,5,1379.98,164.41,19
P7429,S638,Camera,Wearable Tech,103,451.79,7,31.76,341,3162.53,38,423.0,94.9,15
P7894,S119,Camera,Accessories,119,1120.59,278,51.01,170,311524.02,51,1237.91,377.57,13
P6471,S158,Headphones,Wearable Tech,267,92.24,101,60.4,235,9316.24,130,107.03,36.54,15
P9710,S414,Camera,Accessories,218,1497.32,282,23.61,91,422244.24,79,1670.42,475.57,6
P5107,S229,Laptop,Electronics,149,1088.76,49,37.24,126,53349.24,61,1144.4,116.86,9
P2220,S629,Camera,Electronics,239,1702.88,23,52.41,261,39166.24,113,1635.3,443.01,8
P6335,S765,Smartphone,Gadgets,68,437.88,182,61.87,69,79694.16,7,478.27,70.92,19
P9828,S981,Laptop,Accessories,375,229.19,189,67.09,323,43316.91,55,252.81,77.27,11
P8362,S298,Headphones,Wearable Tech,89,1223.46,120,67.83,347,146815.2,20,1428.11,306.37,12
P3505,S250,Laptop,Gadgets,273,453.53,129,88.73,198,58505.37,129,462.54,64.11,12
P3179,S265,Laptop,Gadgets,342,594.38,4,5.43,152,2377.52,133,678.11,96.87,16
P7544,S890,Headphones,Accessories,293,1726.7,58,1.08,63,100148.6,51,1912.78,416.44,9
P3898,S873,Headphones,Gadgets,490,1817.66,21,18.06,39,38170.86,195,2037.96,660.83,11
P2454,S692,Tablet,Electronics,379,1595.4,148,68.68,224,236119.2,180,1647.08,188.45,20
P1012,S347,Laptop,Electronics,249,1914.89,53,50.11,195,101489.17,98,2098.81,312.82,15
P8054,S624,Laptop,Electronics,157,546.62,68,75.83,148,37170.16,61,590.71,166.65,7
P1955,S152,Smartwatch,Accessories,33,1203.99,70,55.19,176,84279.3,7,1303.14,178.75,7
P4886,S751,Laptop,Wearable Tech,381,941.51,219,88.88,194,206190.69,90,1011.02,250.41,8
P8408,S248,Laptop,Electronics,135,190.05,48,77.91,38,9122.4,62,176.53,46.75,19
P3208,S705,Smartphone,Electronics,89,1798.3,295,75.54,325,530498.5,25,1990.84,244.69,19
P7560,S625,Tablet,Wearable Tech,24,430.39,280,89.99,37,120509.2,11,434.08,60.28,19
P7607,S237,Smartwatch,Gadgets,316,554.84,32,46.73,290,17754.88,128,546.52,69.75,2
P8423,S868,Headphones,Electronics,130,1501.99,40,39.0,210,60079.6,45,1370.65,332.83,10
P2623,S975,Camera,Gadgets,153,939.25,56,90.83,247,52598.0,57,1039.87,132.79,6
P7452,S669,Camera,Accessories,215,761.77,43,91.2,1,32756.11,93,787.74,290.84,3
P4247,S277,Smartwatch,Electronics,27,1204.64,17,27.02,215,20478.88,10,1127.93,470.05,10
P3033,S583,Tablet,Electronics,499,423.2,16,75.14,64,6771.2,77,475.97,117.02,14
P5518,S420,Camera,Electronics,226,1753.31,76,40.26,1,133251.56,71,1630.49,582.67,16
P5370,S533,Tablet,Gadgets,207,1085.48,94,89.44,178,102035.12,59,1075.04,166.77,13
P8653,S729,Camera,Wearable Tech,31,1497.16,12,96.74,84,17965.92,8,1475.05,250.04,14
P1020,S638,Smartphone,Gadgets,149,1715.64,209,95.14,9,358568.76,51,1850.25,478.55,17
P8281,S708,Headphones,Gadgets,481,1895.53,19,79.62,225,36015.07,120,1815.94,675.72,4
P3491,S296,Smartwatch,Gadgets,394,320.93,8,70.38,171,2567.44,116,296.87,87.6,11
P7311,S147,Smartphone,Gadgets,342,347.1,196,7.01,149,68031.6,85,341.34,36.95,18
P9799,S196,Smartphone,Gadgets,441,986.72,150,10.53,198,148008.0,212,1081.6,278.83,3
P5971,S660,Smartphone,Wearable Tech,429,210.2,204,13.73,43,42880.8,49,203.61,80.52,5
P2943,S916,Camera,Wearable Tech,30,970.41,281,10.32,248,272685.21,12,1063.11,240.32,1
P3929,S810,Tablet,Gadgets,61,653.11,220,40.48,353,143684.2,22,737.79,217.6,14
P1600,S530,Camera,Wearable Tech,78,982.68,285,38.22,74,280063.8,35,947.16,314.76,3
P2792,S490,Headphones,Gadgets,143,529.89,219,46.92,44,116045.91,50,611.29,157.03,7
P1630,S195,Smartphone,Accessories,35,1122.64,123,93.91,114,138084.72,7,1092.13,301.54,2
P5518,S311,Tablet,Gadgets,422,1517.81,74,91.79,237,112317.94,86,1664.71,419.08,16
P4939,S555,Headphones,Gadgets,434,267.32,115,21.07,1,30741.8,132,302.93,100.61,13
P6838,S332,Laptop,Wearable Tech,269,1909.4,153,50.92,9,292138.2,103,1979.44,196.19,15
P9343,S770,Camera,Accessories,264,1174.68,128,85.37,293,150359.04,109,1347.0,299.28,1
P1529,S154,Laptop,Gadgets,473,470.77,173,15.26,81,81443.21,137,531.88,142.96,17
P1632,S130,Headphones,Accessories,341,1676.22,150,0.05,343,251433.0,144,1999.78,175.94,4
P1221,S904,Laptop,Gadgets,383,1631.3,96,34.45,83,156604.8,114,1549.9,394.46,13
P1476,S297,Tablet,Gadgets,18,927.18,256,80.13,102,237358.08,2,874.8,100.76,15
P1416,S962,Camera,Electronics,40,880.33,193,19.07,38,169903.69,15,794.79,132.71,15
P8915,S856,Headphones,Electronics,95,353.63,36,80.15,231,12730.68,41,324.3,76.01,20
P5486,S497,Smartphone,Accessories,472,1401.62,185,58.69,185,259299.7,93,1492.33,382.25,15
P3270,S223,Headphones,Wearable Tech,292,886.22,287,16.28,26,254345.14,121,992.7,302.13,17
P6374,S857,Tablet,Wearable Tech,9,445.25,209,46.51,294,93057.25,1,478.39,133.16,6
P6441,S269,Smartphone,Gadgets,253,462.51,177,8.44,53,81864.27,51,526.4,104.24,9
P3574,S790,Tablet,Electronics,364,646.62,48,91.36,132,31037.76,118,605.77,180.76,12
P3877,S448,Smartwatch,Accessories,380,1947.19,126,44.4,52,245345.94,43,2012.8,235.3,8
P9692,S109,Headphones,Wearable Tech,351,1156.03,247,68.36,189,285539.41,141,1186.94,336.51,8
P8177,S686,Laptop,Wearable Tech,480,521.31,57,26.02,330,29714.67,231,488.22,87.52,19
P3530,S587,Camera,Electronics,163,1309.95,89,68.5,155,116585.55,20,1500.24,449.41,17
P9383,S358,Headphones,Gadgets,137,313.52,166,87.09,296,52044.32,35,305.63,67.73,9
P9008,S725,Headphones,Gadgets,5,595.92,82,51.65,179,48865.44,2,597.21,181.96,7
P7180,S939,Laptop,Wearable Tech,357,1557.16,155,14.77,168,241359.8,123,1681.74,479.17,1
P1150,S704,Smartwatch,Gadgets,477,1013.48,86,30.25,232,87159.28,171,1055.85,286.32,5
P5853,S745,Laptop,Accessories,185,829.07,276,12.65,78,228823.32,39,954.44,176.99,12
P9657,S892,Laptop,Accessories,139,446.91,288,4.92,184,128710.08,44,494.06,166.84,1
P3773,S279,Smartphone,Gadgets,317,1856.14,224,14.64,352,415775.36,36,1855.77,544.46,9
